x,y,z,A,B,C,button,T,delta_ms
102.236,-419.043,-699.085,-0.0213783,-0.819754,-0.0204789,0,1755591879603,0
102.272,-419.068,-699.11,-0.02131,-0.819788,-0.0204908,0,1755591879611,8
102.149,-418.863,-698.654,-0.0210817,-0.819765,-0.0201907,0,1755591879619,8
102.158,-418.854,-698.656,-0.0210783,-0.819753,-0.0201633,0,1755591879627,8
102.034,-419.025,-698.96,-0.0210489,-0.819726,-0.0200173,0,1755591879635,8
102.01,-419.013,-698.964,-0.0211654,-0.819738,-0.0200877,0,1755591879643,8
102.012,-419.033,-698.986,-0.0211245,-0.819723,-0.0200794,0,1755591879651,8
101.868,-418.832,-698.62,-0.0211816,-0.819826,-0.0201349,0,1755591879659,8
101.848,-418.827,-698.62,-0.0211091,-0.819773,-0.0201609,0,1755591879667,8
101.958,-418.829,-698.539,-0.0210689,-0.819605,-0.0199883,0,1755591879675,8
101.948,-418.829,-698.534,-0.0210878,-0.819518,-0.0199887,0,1755591879683,8
101.953,-418.836,-698.531,-0.020976,-0.819585,-0.0199998,0,1755591879691,8
102.071,-418.807,-698.64,-0.0212605,-0.819558,-0.020123,0,1755591879699,8
102.08,-418.801,-698.646,-0.0212428,-0.819559,-0.0201931,0,1755591879707,8
102.098,-418.809,-698.645,-0.0212429,-0.819621,-0.0201326,0,1755591879715,8
102.144,-418.844,-698.885,-0.0213749,-0.819655,-0.0204092,0,1755591879723,8
102.178,-418.868,-698.904,-0.021306,-0.819665,-0.0204334,0,1755591879731,8
102.089,-418.893,-698.68,-0.0210584,-0.819683,-0.0201729,0,1755591879739,8
102.094,-418.888,-698.67,-0.0210585,-0.819667,-0.0201405,0,1755591879747,8
102.112,-418.912,-698.669,-0.0210794,-0.819663,-0.0201689,0,1755591879755,8
102.15,-419.16,-699.135,-0.0209568,-0.819499,-0.0198659,0,1755591879763,8
102.169,-419.189,-699.152,-0.0210247,-0.819465,-0.0199572,0,1755591879771,8
102.158,-419.149,-699.131,-0.0209412,-0.819477,-0.0199766,0,1755591879779,8
102.176,-419.175,-699.147,-0.0210377,-0.819472,-0.0201124,0,1755591879787,8
102.118,-419.195,-699.158,-0.0210841,-0.819592,-0.020202,0,1755591879795,8
102.114,-419.2,-699.163,-0.0210363,-0.819581,-0.0201521,0,1755591879803,8
102.129,-419.232,-699.178,-0.0210793,-0.819623,-0.0202962,0,1755591879811,8
102.182,-419.151,-698.99,-0.0207555,-0.819477,-0.0198633,0,1755591879819,8
102.198,-419.17,-698.999,-0.0207199,-0.819502,-0.0198613,0,1755591879827,8
102.218,-419.201,-699.003,-0.0206877,-0.819532,-0.0197593,0,1755591879835,8
